FTC 304,"MATH 809, MATH 929, MBAD 801",GPHY 214(3),AGBM 343
FTC 402,,AGEC 241,BCHM 161
FTC 403,"BCOM 339, BCOM 315",AGED 0121,BCOM 316
FTC 404,RELI 435,FOST 342,AGEC 423
FTC 502,PSYC 223,COSC 121,PSYC 231
FTC 504,ANPT 353,"BOTA 922, BOTA 805, ZOOL 831",ANPT 341
"",,"MATH 854, BIOC 850",
FTC 602A,"BIOC 452, BIOC 331",HIST 461/462,
FTC 602B,BSIS 455,,BRMT 411
FTC 602C,"MSCF 841, MSOM 814, DBAM 901",,"CHEM 816, MATH 923"
FTC 604,"MBAD 835, MBAD 844, MBAD 874",FOST 234,"MBAD 836, MBAD 875, MBAD 802"
SRP B 01,MATH 443,CHEM 101,MATH 302
SRP B 03,EDCI 322,SOCI 101,EDCI 201
MSH5,AGBM 312,SOCI 343/346,
MSH6,,,
MSH7,,,
MSH8,,,
MSH9,,,
MSH10,,,
BSR001,KISW 102,KISW 401,GEOG 110
BSR201,"DHRM 0255, DPLM 0218",,"DIBM 0113, DPLM 0212"
BSR202,"BCOP 411, BCOP 331, BCOP 231",GEOG 325,"BCOP 302, BCOP 232"
BSR301,BCOM 111,"BCOM 416, BCOM 426, BCOM 436",BEEM 332
BSR302,BCOM 111,"FREN 110, COSC 106, PESP 111",BEEM 332
BSR303,BCOM 111,"BCOM 456, BCOM 467, BPLM 216",BEEM 332
BSR401,BEEM 401,GEOG 433,
BSR402,DHRM 0131,GEOG 433,HIST 343
"","DPLM 0141, DIBM 0103",,
BSR403,BPLM 361,AGED 424,COMM 330
BSR501,GEOG 435,GEOG 144,GEOG 436
BSR502,"MATH 341, ZOOL 322, ZOOL 434",PHYS 336,ENGL 415/ ENGL 412
BSR503,BCHM 111,PHYS 336,KISW 110
BSL201,LITT 431,COSC 428,PHIL 100
BSL202,LITT 431,GEOG 221,PHIL 100
BSL203,"BCHM 271, BCHM 381",,BCHM 221
BSL301,ENGL 102,ECON 302,"ECON 233,"
BSL302,HIST 434,ECON 302,"ECON 233,"
BSL303,ENGL 102,ECON 302,"ECON 233,"
BSL401,HIST 412,ECON 302,"ECON 233,"
BSL402,"HIST 332,",,"ECON 233,"
BSL403,"CHEM 449, CHIN 429",ECON 302,
BSL501,ECON 444/414,COMM 371,PHIL 100
BSL502,ECON 444/414,,PHIL 100
